Period,People,Males,Females
2019-09,8.3,6.8,10.1
2019-10,8.5,6.7,10.5
2019-11,8.3,6.7,10.2
2019-12,8.2,6.6,10.1
2020-01,8.6,6.7,10.7
2020-02,8.6,6.6,10.9
2020-03,8.8,7.2,10.6
2020-04,13.8,12.6,15
2020-05,13.1,12.2,14.1
2020-06,11.7,10.9,12.6
2020-07,11.2,10.3,12.2
2020-08,11.2,10.4,12
