,keyword,state,id,company,contract_time,contract_type,latitude,longitude,area,redirect_url,created,title,salary_min,salary_max,description
10,Data Analyst,Victoria,1694413660,,full_time,,-37.814563,144.970267,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne', 'Melbourne CBD']",https://www.adzuna.com.au/land/ad/1694413660?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=225E40EA45704B5A23F4E43E6787E89D19708DC9,2020-09-09T07:27:09Z,Project Analyst - Data Insights and Reporting at a senior level,0,0,"Work with a team of energy experts, data analysts and project analysts on a exciting 6 months project Your new role and company This Government organisation deals with exciting projects in the energy space. An opportunity has come up for a Project Analyst (Data insights and reporting) to join the team and work with them improving their system as a whole while working on the continuous improvement program, providing expert data insights, improving and automating reports as you will also work in …"
11,Data Analyst,Victoria,1714806585,Speller International,,contract,-37.754389,144.898971,"['Australia', 'Victoria', 'Melbourne Region', 'Moonee Valley', 'Aberfeldie']",https://www.adzuna.com.au/land/ad/1714806585?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=C409466ED8359F377597E5FCF49A043273D79F4F,2020-09-20T12:08:18Z,SAP Manufacturing Master Data Analyst,0,0,"SAP Manufacturing Master Data Analyst Our client is looking for an experienced SAP Master Data Analyst with a background in Manufacturing to join their project team on an initial 6 month term in Melbourne. This is an acquisition project, and you will be responsible for the extraction, analysis, mapping and preparation of the data from SAP ECC6 Skills Required Experience in a previous SAP Master Data Analyst role in the Manufacturing or Supply Chain industry is essential Must have experience in …"
12,Data Analyst,Victoria,1672456728,Sharp People,full_time,contract,-37.094406,144.352833,"['Australia', 'Victoria']",https://www.adzuna.com.au/details/1672456728?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=97ABFF2BEB8AEF24851204C6D90DFC7004BED546,2020-08-29T04:09:55Z,Data Analyst,0,0,"We are building a modern, fit for purpose workplace & improving our digital capability across the business for our customers & employees. Data Analyst: The Data Analyst will be responsible for managing the master data set, developing reports, and troubleshooting data issues. The role requires a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. This role will be responsible for assisting in the development of data p…"
13,Data Analyst,Victoria,1685672798,Randstad,full_time,contract,,,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1685672798?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=97029CDF62BE133588DA87F9F13F1FEC19FE80A6,2020-09-04T04:12:15Z,Data Analyst,0,0,This role works collaboratively in a team to build and provide reporting and data analysis in order to support decision making for a State Government department located in Melbourne CBD. Key responsibilites: Collaborating with the strategic analysis team to provide the data and analysis required to deliver solutions. Provide commentary to support decision making and insight. Identify trends and to work proactively with stakeholders to explain the data. Delivering integrated workforce reporting …
14,Data Analyst,Victoria,1695659548,Peoplebank,,contract,,,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1695659548?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=F67F370C4D56AD308FD6B93CD8CCA268286E62AF,2020-09-10T08:57:57Z,Data Analyst,0,0,"Our Client: Our client is a key player in the utilities industry, and they are currently seeking a Data Analyst for a compliance program on an initial 6 month contract. In this role you would be involved in driving the data analysis activities on the 5MS Data Migration Delivery stream. You would be required to collaborate with ICT and business stakeholders to profile, analyse, cleanse, and reconcile the data within the landscape of the project. To be successful for the role, you would come from…"
15,Data Analyst,Victoria,1703842219,Victorian Government,full_time,contract,-37.813611,144.963056,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne', 'Melbourne CBD']",https://www.adzuna.com.au/details/1703842219?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=280E07EF8604045F007634D0FE11BB87367F3EA8,2020-09-14T21:07:29Z,Data Analyst,0,0,"Data Analyst (12 months fixed term, full-time) Victorian School Building Authority The Victorian School Building Authority was created in 2016 to manage the State Government's record investment in building new schools and early learning centres, and modernising existing ones. We are delivering the schools needed for Victoria's rapidly-growing population, and equipping them to prepare students for the new demands of the 21st century. We are a division of the Department of Education and Training …"
16,Data Analyst,Victoria,1710376345,"Department of Jobs, Precincts and Regions",full_time,,-37.806509,144.957935,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1710376345?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=D68282C806BA5B40305F9F3C8666A5AED0C1A91B,2020-09-18T05:09:27Z,Data Analyst,85279,96759,"$85,279 - $96,759 (Plus Superannuation) Fixed Term – 6 months Usual hours of work: Full Time (flexibility may be available) Usual work location: 1 Spring Street, Melbourne (flexibility may be available) The position of Data Analyst forms a part of the Working for Victoria Branch within the Inclusion Group. Working for Victoria forms part of the Economic program delivery, supply, logistics and procurement Mission being coordinated by DJPR. Please see more information here: https://www.vic.gov.au…"
17,Data Analyst,Victoria,1709796279,Victorian Government,full_time,contract,-37.813611,144.963056,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne', 'Melbourne CBD']",https://www.adzuna.com.au/details/1709796279?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=932D1176FF97A014C6F93A207A7CB6A3471FDAA6,2020-09-17T21:07:10Z,Data Analyst,0,0," $85,279 - $96,759 (Plus Superannuation)  Fixed Term – 6 months  Usual hours of work: Full Time (flexibility may be available)  Usual work location: 1 Spring Street, Melbourne (flexibility may be available) The position of Data Analyst forms a part of the Working for Victoria Branch within the Inclusion Group. Working for Victoria forms part of the Economic program delivery, supply, logistics and procurement Mission being coordinated by DJPR. Please see more information here: https://www.vic.go…"
18,Data Analyst,Victoria,1707526462,Bryco Consulting,full_time,permanent,-37.7689,144.83026,"['Australia', 'Victoria', 'Melbourne Region', 'Brimbank Area', 'Sunshine North']",https://www.adzuna.com.au/details/1707526462?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=2F6B26DA4592B59B4BFED0818C906A404F7BFF34,2020-09-16T20:19:51Z,Data Analyst,0,0,"The Company Our client is a well-known multi-national distributer based in the Western Suburbs of Melbourne. This is a permanent fulltime opportunity that requires an individual who can think on their feet and thrives working in a busy environment. The Position Reporting to the Operations Manager, your duties will include: Process customer orders received via email, fax & EDI Answer general enquiries via phone and email Investigate and problem solve stock and delivery issues Support the sales t…"
19,Data Analyst,Victoria,1684125884,Vanguard,full_time,,-37.806509,144.957935,"['Australia', 'Victoria', 'Melbourne Region', 'Melbourne']",https://www.adzuna.com.au/details/1684125884?se=BCB8WL786hGMrxSpQQVldQ&utm_medium=api&utm_source=1bfedc88&v=26B3DB62C8EF32519F357D4D8140CF09C6D0C914,2020-09-03T11:37:29Z,IBOR Data Analyst,0,0,"Vanguard’s Global Investment Data Management team has an Investment Data Analyst opportunity open in London. You will provide IBOR data domain aligned support to our Investment Management Group (IMG), Enterprise Investment Services (EIS), Enterprise Financial Services (EFS) and other enterprise data clients and stakeholders improve investment decisions and fund oversight. You will also serve as the point of contact for investment data related inquires and partner with internal teams to ensure i…"
